Category,App Age (days)_mean,App Age (days)_median,App Age (days)_std,Rating_mean,Installs_median,is_recently_updated_mean,Entry_Rate
DATING,71.02,20.0,144.64,4.0,10000.0,0.85,85.38011695906432
ENTERTAINMENT,89.91,24.5,209.01,4.14,1000000.0,0.82,82.35294117647058
COMICS,112.93,36.0,203.21,4.19,100000.0,0.77,76.78571428571429
AUTO_AND_VEHICLES,109.67,36.0,207.01,4.21,100000.0,0.73,72.94117647058823
SHOPPING,130.02,21.5,283.34,4.24,1000000.0,0.73,72.77227722772277
FOOD_AND_DRINK,103.01,36.0,162.22,4.19,300000.0,0.72,72.32142857142857
EVENTS,125.44,51.5,154.84,4.45,1000.0,0.69,68.75
PARENTING,114.6,54.0,169.73,4.32,100000.0,0.68,68.33333333333333
HOUSE_AND_HOME,223.31,27.0,408.18,4.16,500000.0,0.68,67.56756756756756
HEALTH_AND_FITNESS,184.27,38.0,343.16,4.28,100000.0,0.66,65.625
NEWS_AND_MAGAZINES,189.85,48.5,312.38,4.14,50000.0,0.64,63.77952755905512
MAPS_AND_NAVIGATION,197.42,54.0,361.66,4.05,100000.0,0.6,59.541984732824424
TRAVEL_AND_LOCAL,206.59,56.0,319.12,4.09,100000.0,0.58,58.44748858447488
WEATHER,268.77,54.0,462.13,4.25,1000000.0,0.58,58.22784810126582
SOCIAL,225.19,58.0,357.52,4.26,100000.0,0.58,57.74058577405857
FINANCE,168.24,57.0,287.02,4.14,10000.0,0.57,57.391304347826086
SPORTS,217.82,76.0,349.04,4.23,100000.0,0.54,54.43425076452599
EDUCATION,250.13,76.0,373.73,4.36,1000000.0,0.54,53.78151260504202
BEAUTY,147.51,86.0,150.55,4.28,50000.0,0.53,52.83018867924528
VIDEO_PLAYERS,309.63,86.5,447.08,4.06,1000000.0,0.51,50.609756097560975
ART_AND_DESIGN,122.52,87.5,125.51,4.36,100000.0,0.5,50.0
COMMUNICATION,291.29,90.0,423.15,4.14,100000.0,0.5,50.0
GAME,323.73,92.5,457.68,4.25,1000000.0,0.5,49.791666666666664
MEDICAL,286.24,98.5,433.84,4.2,1000.0,0.49,49.24242424242424
PRODUCTIVITY,302.05,101.5,423.6,4.21,100000.0,0.49,48.663101604278076
PHOTOGRAPHY,271.62,110.0,358.62,4.17,1000000.0,0.47,46.619217081850536
LIFESTYLE,302.79,139.0,383.52,4.11,10000.0,0.43,43.360433604336045
BUSINESS,299.98,129.5,406.34,4.14,1000.0,0.42,41.904761904761905
TOOLS,348.7,151.0,467.47,4.06,50000.0,0.41,41.133896260554884
FAMILY,324.36,159.0,408.28,4.2,100000.0,0.4,40.02095337873232
PERSONALIZATION,428.82,161.0,512.08,4.35,10000.0,0.36,35.90425531914894
BOOKS_AND_REFERENCE,423.79,235.0,464.85,4.38,10000.0,0.31,30.630630630630627
LIBRARIES_AND_DEMO,441.26,335.5,498.79,4.18,10000.0,0.26,26.190476190476193
