Category,Total_Apps,Free_Apps,Paid_Apps,Avg_Price_Paid,Median_Installs_Free,Median_Installs_Paid,Top_Rated_Percentage,Recently_Updated_Percentage
FAMILY,1909,1724,185,13.026162162162162,100000.0,5000.0,27.606076479832375,40.02095337873232
GAME,960,878,82,3.46719512195122,1000000.0,10000.0,29.375,49.791666666666664
TOOLS,829,751,78,3.426282051282052,100000.0,1000.0,20.506634499396863,41.133896260554884
BUSINESS,420,408,12,14.607499999999996,1000.0,300.0,18.571428571428573,41.904761904761905
MEDICAL,396,313,83,11.996385542168674,1000.0,1000.0,28.030303030303028,49.24242424242424
PERSONALIZATION,376,295,81,1.857777777777778,100000.0,500.0,31.648936170212767,35.90425531914894
PRODUCTIVITY,374,346,28,8.961785714285716,100000.0,750.0,25.13368983957219,48.663101604278076
LIFESTYLE,369,350,19,124.25631578947367,10000.0,5000.0,28.455284552845526,43.360433604336045
FINANCE,345,328,17,170.6370588235294,10000.0,1000.0,28.695652173913043,57.391304347826086
SPORTS,327,303,24,4.166666666666667,100000.0,1000.0,26.299694189602445,54.43425076452599
