Category,App_Count,Total_Installs,Avg_Installs,Median_Installs,Avg_Rating,Median_Rating,Percent_Paid,Avg_Saturation_Index
MEDICAL,396,39193177,98972.67,1000.0,4.2,4.3,20.96,40.01
FAMILY,1909,8885642505,4654605.82,100000.0,4.2,4.3,9.69,4.1
LIFESTYLE,369,503823539,1365375.44,10000.0,4.11,4.2,5.15,2.7
FINANCE,345,455348734,1319851.4,10000.0,4.14,4.3,4.93,2.61
EVENTS,64,15973161,249580.64,1000.0,4.45,4.5,1.56,2.56
BUSINESS,420,697164865,1659916.35,1000.0,4.14,4.2,2.86,2.53
DATING,171,140926107,824129.28,10000.0,4.0,4.1,3.51,2.07
AUTO_AND_VEHICLES,85,53130211,625061.31,100000.0,4.21,4.3,3.53,1.36
LIBRARIES_AND_DEMO,84,52995910,630903.69,10000.0,4.18,4.2,1.19,1.33
PARENTING,60,31521110,525351.83,100000.0,4.32,4.4,3.33,1.14
BEAUTY,53,27197050,513151.89,50000.0,4.28,4.3,0.0,1.03
PERSONALIZATION,376,1532494782,4075783.99,10000.0,4.35,4.4,21.54,0.92
TOOLS,829,8102771915,9774151.89,50000.0,4.06,4.2,9.41,0.85
SPORTS,327,1296474498,3964753.82,100000.0,4.23,4.3,7.34,0.82
HEALTH_AND_FITNESS,288,1144022512,3972300.39,100000.0,4.28,4.5,5.21,0.73
COMICS,56,44981150,803234.82,100000.0,4.19,4.4,0.0,0.7
GAME,960,13928924415,14509296.27,1000000.0,4.25,4.3,8.54,0.66
FOOD_AND_DRINK,112,211798751,1891060.28,300000.0,4.19,4.3,1.79,0.59
HOUSE_AND_HOME,74,97212461,1313681.91,500000.0,4.16,4.2,0.0,0.56
EDUCATION,119,352952000,2965983.19,1000000.0,4.36,4.4,3.36,0.4
ART_AND_DESIGN,64,114338100,1786532.81,100000.0,4.36,4.4,4.69,0.36
MAPS_AND_NAVIGATION,131,503281890,3841846.49,100000.0,4.05,4.2,3.82,0.34
BOOKS_AND_REFERENCE,222,1665969576,7504367.46,10000.0,4.38,4.5,12.61,0.3
SHOPPING,202,1400348785,6932419.73,1000000.0,4.24,4.3,0.99,0.29
NEWS_AND_MAGAZINES,254,2369217760,9327628.98,50000.0,4.14,4.2,0.79,0.27
PRODUCTIVITY,374,5793091369,15489549.11,100000.0,4.21,4.3,7.49,0.24
TRAVEL_AND_LOCAL,219,2894887146,13218662.77,100000.0,4.09,4.2,5.48,0.17
WEATHER,79,361100520,4570892.66,1000000.0,4.25,4.3,10.13,0.17
PHOTOGRAPHY,281,4649147655,16545009.45,1000000.0,4.17,4.3,6.76,0.17
SOCIAL,239,5487867902,22961790.38,100000.0,4.26,4.3,1.26,0.1
COMMUNICATION,316,11039276251,34934418.52,100000.0,4.14,4.2,8.54,0.09
VIDEO_PLAYERS,164,3931902720,23975016.59,1000000.0,4.06,4.2,2.44,0.07
ENTERTAINMENT,102,2113660000,20722156.86,1000000.0,4.14,4.2,1.96,0.05
