Category,App_Count,Total_Installs,Avg_Installs,Median_Installs,Avg_Rating,Median_Rating,Percent_Paid,Avg_Saturation_Index,Growth_Potential,Monetization_Score,Accessibility,Growth_Potential_Normalized,Monetization_Score_Normalized,Accessibility_Normalized,Avg_Installs_Normalized,Opportunity_Score
COMMUNICATION,316,11039276251,34934418.52,100000.0,4.14,4.2,8.54,0.09,110203.21299684544,35.355599999999995,0.9174311926605504,0.6006632343498511,0.38477863115814936,0.9682822616563332,1.0,0.7476393750334851
ENTERTAINMENT,102,2113660000,20722156.86,1000000.0,4.14,4.2,1.96,0.05,183303.47434530154,8.1144,0.9466844681797952,1.0,0.0883098497740015,1.0,0.5920172309205567,0.7360654161389116
VIDEO_PLAYERS,164,3931902720,23975016.59,1000000.0,4.06,4.2,2.44,0.07,145303.13084848484,9.9064,0.9345794392523364,0.7924093021599854,0.10781237008295974,0.986875174374539,0.6853951008064965,0.6924268371382485
SOCIAL,239,5487867902,22961790.38,100000.0,4.26,4.3,1.26,0.1,95674.12658333333,5.3675999999999995,0.9090909090909091,0.5212928152953099,0.05841614286292646,0.9592393450161151,0.6563090309923505,0.5871046828644828
PHOTOGRAPHY,281,4649147655,16545009.45,1000000.0,4.17,4.3,6.76,0.17,58670.24627659574,28.1892,0.8547008547008548,0.3191456600647915,0.30678596288687804,0.9002671621401622,0.47210639561830087,0.5216023183625219
TRAVEL_AND_LOCAL,219,2894887146,13218662.77,100000.0,4.09,4.2,5.48,0.17,60084.83077272727,22.4132,0.8547008547008548,0.32687334238772126,0.24392516081961088,0.9002671621401622,0.37661898046296993,0.4922509796148812
WEATHER,79,361100520,4570892.66,1000000.0,4.25,4.3,10.13,0.17,57136.15825,43.0525,0.8547008547008548,0.3107651462408652,0.4685447854918663,0.9002671621401622,0.12837269283866506,0.48269318818041446
PRODUCTIVITY,374,5793091369,15489549.11,100000.0,4.21,4.3,7.49,0.24,41305.46429333333,31.5329,0.8064516129032259,0.22428422256101926,0.34317579388970376,0.8479531289437523,0.4418079362690286,0.478667951483178
BOOKS_AND_REFERENCE,222,1665969576,7504367.46,10000.0,4.38,4.5,12.61,0.3,33651.87201793722,55.23179999999999,0.7692307692307692,0.18247369099133703,0.6010933600448211,0.8075965890493788,0.21258217339566501,0.459756190700312
PERSONALIZATION,376,1532494782,4075783.99,10000.0,4.35,4.4,21.54,0.92,10811.098116710877,91.88555999999998,0.5208333333333334,0.057697655907370825,1.0,0.53827273600429,0.11415990876430823,0.4016230993263599
GAME,960,13928924415,14509296.27,1000000.0,4.25,4.3,8.54,0.66,15098.123069719042,36.294999999999995,0.6024096385542168,0.08111708899031313,0.39500221797636104,0.6267214945830307,0.413668412973678,0.37408570126201096
NEWS_AND_MAGAZINES,254,2369217760,9327628.98,50000.0,4.14,4.2,0.79,0.27,36578.93717647059,3.2706,0.7874015748031495,0.1984638490522513,0.035594276184418974,0.8272982069505689,0.26492143518811884,0.3678317590753536
SHOPPING,202,1400348785,6932419.73,1000000.0,4.24,4.3,0.99,0.29,34149.85088669951,4.1976,0.7751937984496123,0.1851940816868739,0.04568291252727851,0.8140619778696659,0.19616361706477198,0.3481461237853721
MAPS_AND_NAVIGATION,131,503281890,3841846.49,100000.0,4.05,4.2,3.82,0.34,29104.89765151515,15.470999999999998,0.7462686567164178,0.15763418968879522,0.16837248420752948,0.782700017174243,0.10744440694448583,0.3372636402893145
ART_AND_DESIGN,64,114338100,1786532.81,100000.0,4.36,4.4,4.69,0.36,27485.120153846154,20.448400000000003,0.7352941176470589,0.14878556596214845,0.22254204033800312,0.7708009203221562,0.0484437646432477,0.33007310688154157
TOOLS,829,8102771915,9774151.89,50000.0,4.06,4.2,9.41,0.85,11776.086614457832,38.2046,0.5405405405405405,0.06296925656202434,0.41578459118059474,0.5596401907794452,0.2777394973401783,0.3254876519065955
