Category,Optimal Price,Success Score,Sample Size
FAMILY,6.99,1.55772903718029,1.0
GAME,5.99,0.9698206234954826,1.0
TOOLS,3.49,1.1688277597569567,1.0
BUSINESS,4.99,0.7738998938985769,3.0
MEDICAL,9.0,0.5718063509725351,1.0
PERSONALIZATION,4.49,0.9698206234954826,1.0
PRODUCTIVITY,4.49,1.1688277597569567,1.0
LIFESTYLE,5.99,1.2140224417329342,1.0
FINANCE,18.99,0.6261273272606741,1.0
SPORTS,29.99,0.3688382401403362,1.0
COMMUNICATION,2.9,0.5718063509725351,1.0
HEALTH_AND_FITNESS,3.49,0.7708134872340093,1.0
PHOTOGRAPHY,5.99,1.1145188736021974,1.0
NEWS_AND_MAGAZINES,0.99,0.6221797847678924,1.0
SOCIAL,0.99,-0.4929165715710414,2.0
