,Price,Price,Price,Price,App,Rating,Installs,Price
,mean,median,min,max,count,mean,median,paid_pct
Category,,,,,,,,
MEDICAL,2.514,0.0,0.0,200.0,396,4.204,1000.0,21.0
EVENTS,1.719,0.0,0.0,109.99,64,4.455,1000.0,1.6
FINANCE,1.478,0.0,0.0,394.99,339,4.142,10000.0,3.2
PRODUCTIVITY,0.671,0.0,0.0,154.99,374,4.206,100000.0,7.5
FAMILY,0.64,0.0,0.0,399.99,1906,4.201,100000.0,9.5
BOOKS_AND_REFERENCE,0.54,0.0,0.0,6.49,222,4.382,10000.0,12.6
PHOTOGRAPHY,0.421,0.0,0.0,29.99,281,4.167,1000000.0,6.8
BUSINESS,0.417,0.0,0.0,89.99,420,4.136,1000.0,2.9
WEATHER,0.41,0.0,0.0,6.99,79,4.248,1000000.0,10.1
PERSONALIZATION,0.4,0.0,0.0,9.99,376,4.346,10000.0,21.5
TOOLS,0.322,0.0,0.0,25.99,829,4.062,50000.0,9.4
SPORTS,0.306,0.0,0.0,29.99,327,4.235,100000.0,7.3
GAME,0.296,0.0,0.0,17.99,960,4.25,1000000.0,8.5
COMMUNICATION,0.263,0.0,0.0,19.99,316,4.136,100000.0,8.5
TRAVEL_AND_LOCAL,0.228,0.0,0.0,8.99,219,4.089,100000.0,5.5
HEALTH_AND_FITNESS,0.223,0.0,0.0,9.99,288,4.282,100000.0,5.2
MAPS_AND_NAVIGATION,0.206,0.0,0.0,11.99,131,4.053,100000.0,3.8
DATING,0.16,0.0,0.0,7.99,171,3.998,10000.0,3.5
PARENTING,0.16,0.0,0.0,4.99,60,4.317,100000.0,3.3
AUTO_AND_VEHICLES,0.158,0.0,0.0,9.99,85,4.206,100000.0,3.5
EDUCATION,0.151,0.0,0.0,5.99,119,4.365,1000000.0,3.4
LIFESTYLE,0.119,0.0,0.0,7.99,362,4.12,10000.0,3.3
ART_AND_DESIGN,0.093,0.0,0.0,1.99,64,4.359,100000.0,4.7
ENTERTAINMENT,0.078,0.0,0.0,4.99,102,4.135,1000000.0,2.0
FOOD_AND_DRINK,0.076,0.0,0.0,4.99,112,4.193,300000.0,1.8
SOCIAL,0.067,0.0,0.0,13.99,239,4.255,100000.0,1.3
VIDEO_PLAYERS,0.064,0.0,0.0,5.99,164,4.059,1000000.0,2.4
SHOPPING,0.027,0.0,0.0,2.99,202,4.238,1000000.0,1.0
NEWS_AND_MAGAZINES,0.016,0.0,0.0,2.99,254,4.137,50000.0,0.8
LIBRARIES_AND_DEMO,0.012,0.0,0.0,0.99,84,4.183,10000.0,1.2
HOUSE_AND_HOME,0.0,0.0,0.0,0.0,74,4.158,500000.0,0.0
BEAUTY,0.0,0.0,0.0,0.0,53,4.283,50000.0,0.0
COMICS,0.0,0.0,0.0,0.0,56,4.189,100000.0,0.0
